produto,categoria,cliente,vendedor,data_venda,faturamento
Cadeira,Móveis,Agatha,Daniela,2024-12-07,1511.12
Cadeira,Móveis,Agatha,Eduardo,2024-12-30,2867.48
Cadeira,Móveis,Alana,Ana,2024-05-19,2200.23
Cadeira,Móveis,Alana,Ana,2024-07-09,2623.52
Cadeira,Móveis,Alana,Bruno,2024-12-26,769.67
Cadeira,Móveis,Alana,Daniela,2024-10-07,1919.94
Cadeira,Móveis,Alexandre,Ana,2024-06-06,2520.6
Cadeira,Móveis,Alexandre,Carlos,2024-01-16,661.35
Cadeira,Móveis,Alexandre,Eduardo,2024-08-24,3002.52
Cadeira,Móveis,Alexandre,Eduardo,2024-11-27,652.79
Cadeira,Móveis,Alexia,Ana,2024-01-09,2874.52
Cadeira,Móveis,Alexia,Bruno,2024-10-01,1466.74
Cadeira,Móveis,Alice,Ana,2024-07-22,1389.0
Cadeira,Móveis,Alice,Ana,2024-11-22,1461.6
Cadeira,Móveis,Alice,Bruno,2024-12-20,2209.38
Cadeira,Móveis,Alice,Carlos,2024-01-06,645.88
Cadeira,Móveis,Alice,Carlos,2024-09-29,3076.32
Cadeira,Móveis,Alice,Daniela,2024-06-15,2694.16
Cadeira,Móveis,Alice,Daniela,2024-09-28,2154.54
Cadeira,Móveis,Alice,Eduardo,2024-07-26,1277.66
Cadeira,Móveis,Alice,Eduardo,2024-08-17,1466.42
Cadeira,Móveis,Allana,Ana,2024-10-04,720.5
Cadeira,Móveis,Allana,Bruno,2024-01-17,2881.48
Cadeira,Móveis,Allana,Daniela,2024-12-25,2958.28
Cadeira,Móveis,Allana,Eduardo,2024-11-19,1991.7599999999998
Cadeira,Móveis,Alícia,Ana,2024-05-30,635.06
Cadeira,Móveis,Alícia,Ana,2024-10-05,2704.2
Cadeira,Móveis,Alícia,Ana,2024-12-27,2058.63
Cadeira,Móveis,Amanda,Bruno,2024-07-01,1425.44
Cadeira,Móveis,Amanda,Carlos,2024-08-14,1406.78
